Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C668370,GRT188R61H225KE13D,muRata,603,,2.2uF ±10% 50V Ceramic Capacitor X5R 0603,yes,30,10,10,0.0527,1.58,https://www.lcsc.com/product-detail/C668370.html
2,C5208051,DRV8212PDSGR,TI,WSON-8(2x2),,"PWM WSON-8(2x2) Motor Drivers, Controllers RoHS",yes,10,1,1,0.6712,6.71,https://www.lcsc.com/product-detail/C5208051.html
3,C5290159,TL431,TWGMC,SOT-23,,2.5V~36V ±1% 100mA Adjustable SOT-23 Voltage Reference RoHS,yes,20,20,20,0.0354,0.71,https://www.lcsc.com/product-detail/C5290159.html
4,C181255,INA3221AIRGVR,TI,QFN-16-EP(4x4),,-300mV~26V 500nV 10uA 3 QFN-16-EP(4x4) Current Regulation/Management RoHS,yes,5,1,1,1.2038,6.02,https://www.lcsc.com/product-detail/C181255.html
5,C137761,RC0603FR-0724K9L,YAGEO,603,,100mW 24.9kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C137761.html
6,C861311,RT0603BRD07309KL,YAGEO,603,,309kΩ 100mW 75V Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0254,0.51,https://www.lcsc.com/product-detail/C861311.html
7,C95177,RC0603JR-070RL,YAGEO,603,,100mW 0Ω 75V Thick Film Resistor ±5% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C95177.html
8,C107697,RC0603JR-07200KL,YAGEO,603,,200kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C107697.html
9,C114633,RC0603FR-0768KL,YAGEO,603,,68kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/C114633.html
10,C114662,RC0603FR-072K2L,YAGEO,603,,100mW 2.2kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C114662.html
11,C185338,RC0603FR-0733K2L,YAGEO,603,,100mW 33.2kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C185338.html
12,C165760,RC0603FR-07162KL,YAGEO,603,,100mW 162kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C165760.html
13,C137621,RC0603JR-074R7L,YAGEO,603,,100mW 4.7Ω 75V Thick Film Resistor ±5% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0035,0.35,https://www.lcsc.com/product-detail/C137621.html
14,C99782,RC0603FR-074K7L,YAGEO,603,"R3,R12,R35,R36",100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,200,100,100,0.0013,0.26,https://www.lcsc.com/product-detail/C99782.html
15,C22548,RC0603FR-071KL,YAGEO,603,R11,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,200,100,100,0.0014,0.28,https://www.lcsc.com/product-detail/C22548.html
16,C105879,RC0603JR-07330RL,YAGEO,603,"R10,R14,R15,R16,R17",100mW 330Ω 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount RoHS,yes,200,100,100,0.0014,0.28,https://www.lcsc.com/product-detail/C105879.html
17,C14675,RC0603FR-07100KL,YAGEO,603,,100mW 100kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C14675.html
18,C16194197,CL10E104KC8VPNC,Samsung Electro-Mechanics,603,"C2,C4,C5,C6,C30,C32,C33,C45",0603 Ceramic Capacitors RoHS,yes,160,10,10,0.0624,9.98,https://www.lcsc.com/product-detail/C16194197.html
19,C2167136,C0603C223K5RACTU,KEMET,603,"C31,C34,C46",22nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,50,50,0.013,1.3,https://www.lcsc.com/product-detail/C2167136.html
20,C125093,LTST-C190GKT,LITEON,603,,Yellow Green 565nm LED Indication - Discrete 2.1V 0603,yes,40,20,20,0.0255,1.02,https://www.lcsc.com/product-detail/C125093.html
21,C2693608,SML-D12U1WT86,ROHM,603,"D2,D3,D4,D6,D7",Orange Red LED Indication - Discrete 2.2V 0603,yes,60,10,10,0.078,4.68,https://www.lcsc.com/product-detail/C2693608.html
22,C891584,MM3Z18VB,onsemi,SOD-323FL,,Zener Diode Independent 18V 200mW Surface Mount SOD-323FL,yes,10,5,5,0.0426,0.43,https://www.lcsc.com/product-detail/C891584.html
23,C148226,SMAJ26CA,Littelfuse,DO-214AC(SMA),,42.1VC Clamp 9.5A@10/1000us Ipp TVS DIODE DO-214AC(SMA),yes,20,5,5,0.0992,1.98,https://www.lcsc.com/product-detail/C148226.html
24,C41367234,BSMD1206C-2150T,BHFUSE,1206,,15A Fuse Surface Mount 1206,yes,5,5,5,0.0764,0.38,https://www.lcsc.com/product-detail/C41367234.html
25,C98732,XT60PW-M,Changzhou Amass Elec,-,,Horizontal plug Power Connectors RoHS,yes,10,1,1,0.4833,4.83,https://www.lcsc.com/product-detail/C98732.html
26,C428722,XT60PW-F,Changzhou Amass Elec,-,,Horizontal plug Power Connectors ,-,5,1,1,0.5489,2.74,https://www.lcsc.com/product-detail/C428722.html
